# ATS olice
threads,mean,std
1,123.2952,1.4512834779371466
2,241.4558,1.8769345457124709
4,312.88689999999997,6.034530276297864
6,328.1389,7.384461500715921
8,339.905,5.406961356539471
10,343.2742,0.45136110205072727
12,344.8572,3.6339698769619226
14,343.7219,0.7060768686513236
# ATS DevCloud
threads,mean,std
1,188.4434,2.1939532659866137
2,251.4513,0.5653702916378536
4,314.1814,1.7658694553486456
6,355.98130000000003,0.9613170421643149
8,360.7649,1.9912668468981143
10,361.1246,2.105712716503477
12,361.5036,1.3038029162586016
14,360.1841,2.781123931474876
# Native CUDA T4
threads,mean,std
1,154.923,1.721992967
2,248.8133,2.636205777
4,277.0658,0.912580322
6,273.9408,1.511716376
8,271.0932,1.402806298
10,267.1679,1.79192959
12,265.945,2.258619146
14,265.4882,1.871836579
# Alpaka CUDA T4
threads,mean,std
1,154.5764,0.341136076
2,239.4615,6.290285778
4,276.2715,1.614444125
6,272.2482,1.710681658
8,270.1848,1.568276464
10,264.6877,3.936042882
12,264.8319,2.137287453
14,265.4131,1.747382706
# SYCL CUDA T4
threads,mean,std
1,146.939,1.5983139032534694
2,207.4153,3.168493439756151
4,266.3965,1.0131516558629143
6,263.5148,1.2387342823310519
8,260.2235,1.6119997415218912
10,258.7679,0.8219131408555876
12,258.062,1.1873723557128533
14,257.8077,1.0739835556365818
